model_id,packet_id,run_index,output_id,output_level,reference_concept_id,recovered_votes,unmatched_votes,cannot_judge_votes,panel_status,unanimous
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.4,theme,R06,0,3,0,unmatched,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,code,R06,1,2,0,unmatched,0
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,theme,R02,2,1,0,recovered,0
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.4,theme,R06,0,3,0,unmatched,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_candor_01,1,syn_candor_01__run1__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_candor_01,2,syn_candor_01__run2__gpt-5.4,theme,R05,1,2,0,unmatched,0
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,theme,R01,2,1,0,recovered,0
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_candor_01,3,syn_candor_01__run3__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,code,R05,1,2,0,unmatched,0
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,theme,R02,2,1,0,recovered,0
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,theme,R03,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,code,R01,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,code,R02,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,code,R03,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,code,R04,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,code,R05,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,theme,R01,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,theme,R02,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,theme,R03,2,1,0,recovered,0
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,theme,R04,3,0,0,recovered,1
gpt-5.4,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.4,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,code,R06,0,3,0,unmatched,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,1,syn_agyw_01__run1__gpt-5.5,theme,R06,0,3,0,unmatched,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,code,R06,0,3,0,unmatched,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,theme,R02,2,1,0,recovered,0
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,2,syn_agyw_01__run2__gpt-5.5,theme,R06,0,3,0,unmatched,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,code,R06,1,2,0,unmatched,0
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,theme,R05,2,1,0,recovered,0
gpt-5.5,syn_agyw_01,3,syn_agyw_01__run3__gpt-5.5,theme,R06,0,3,0,unmatched,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_candor_01,1,syn_candor_01__run1__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,theme,R02,2,1,0,recovered,0
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_candor_01,2,syn_candor_01__run2__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,theme,R01,2,1,0,recovered,0
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_candor_01,3,syn_candor_01__run3__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,1,syn_dreaddit_01__run1__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,code,R05,1,2,0,unmatched,0
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,theme,R04,1,2,0,unmatched,0
gpt-5.5,syn_dreaddit_01,2,syn_dreaddit_01__run2__gpt-5.5,theme,R05,2,1,0,recovered,0
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,theme,R03,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_dreaddit_01,3,syn_dreaddit_01__run3__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,theme,R03,2,1,0,recovered,0
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,1,syn_kodis_01__run1__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,code,R01,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,code,R02,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,code,R03,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,code,R04,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,code,R05,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,theme,R01,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,theme,R02,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,theme,R03,2,1,0,recovered,0
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,theme,R04,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,2,syn_kodis_01__run2__gpt-5.5,theme,R05,3,0,0,recovered,1
gpt-5.5,syn_kodis_01,3,syn_kodis_01__run3__gpt-5.5,code,R01,3,0,0,recovered,1
