judge_model_id,packet_id,run_index,blind_id,model_id,evidential_support,quote_attribution_fidelity,voice_context_preservation,negative_case_preservation,analytic_contract_fit,codebook_usability,interpretive_usefulness,parsimony,overall_quality,serious_error_count,serious_error_flags,disposition,confidence,rationale
gpt-5.4,syn_agyw_01,3,B1,gpt-5.6-terra,4,5,4,3,4,4,4,4,4,0,,accept,4,"Solid three-theme analysis that preserves the contested adult framing, though it is thinner on translated uncertainty and exceptional continuity than the top run."
gpt-5.4,syn_agyw_01,3,B2,gpt-5.6-sol,4,5,4,4,4,4,4,4,4,0,,accept,4,"Careful and bounded on access bottlenecks and rerouted support, but the two-theme structure is less discriminating than the strongest run."
gpt-5.4,syn_agyw_01,3,B3,gpt-5.6-luna,2,5,3,2,3,2,2,5,2,0,,revise,4,"Too compressed to preserve the packet's full analytic range, especially the clinic-access boundary conditions, translated uncertainty, and uneven-support exception."
gpt-5.4,syn_agyw_01,3,B4,gpt-5.5,5,5,5,4,5,5,5,4,5,0,,accept,5,"Most complete and disciplined run here, cleanly separating schooling constraints, clinic/privacy usability, and contested explanations while preserving AG_E12 as clarification rather than settled evidence."
gpt-5.4,syn_agyw_01,3,B5,gpt-5.4,4,5,4,3,4,4,4,4,4,0,,accept,4,"Useful and well-bounded with strong emphasis on patchy support and underlying inequality, though slightly more generalized in wording than B4 and less explicit about translated uncertainty."
gpt-5.4,syn_candor_01,1,B1,gpt-5.5,5,5,5,4,5,5,5,4,5,0,,accept,4,"Most complete and well-bounded run: exact evidence, strong sequential framing, preserves advice-timing and cue-ambiguity caveats, and uses a reusable codebook without overgeneralizing."
gpt-5.4,syn_candor_01,1,B2,gpt-5.6-sol,4,5,5,5,5,4,4,5,4,0,,revise,4,"Careful and parsimonious with good negative-case handling, but the two-theme structure leaves less interpretive reach and code/theme integration than the strongest runs."
gpt-5.4,syn_candor_01,1,B3,gpt-5.6-terra,4,5,5,3,5,4,4,4,4,0,,revise,3,"Sequentially grounded and contract-compliant, especially on redirecting advice, but it preserves fewer negative cases and the third theme is narrower and less cross-packet useful than the top alternatives."
gpt-5.4,syn_candor_01,1,B4,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Very strong interactional analysis with clear support-format logic, good repair framing, and usable codes; slightly less explicit on priority negative cases than B1 but still high quality."
gpt-5.4,syn_candor_01,1,B5,gpt-5.6-luna,4,5,4,4,5,4,4,5,4,0,,revise,4,"Compact and accurate, with good handling of support alignment and repair, but the analysis is thinner than stronger runs and leaves more nuance in the packet implicit."
gpt-5.4,syn_candor_01,2,B1,gpt-5.6-luna,3,5,4,3,4,3,3,5,3,0,,revise,4,"Accurate but notably sparse: fewer codes, themes, negative cases, and uncertainties make the analysis serviceable yet less comprehensive and less useful for downstream coding."
gpt-5.4,syn_candor_01,2,B2,gpt-5.6-terra,4,5,5,4,5,4,4,5,4,0,,revise,4,"Well-bounded and clear on advice mismatch and cue repair, but it remains fairly minimal relative to the strongest runs and offers less thematic elaboration."
gpt-5.4,syn_candor_01,2,B3,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Best balance of evidence, codebook usability, and interpretive range; it captures support-fit, cue reinterpretation, and movement from indirectness to clearer boundaries without overclaiming."
gpt-5.4,syn_candor_01,2,B4,gpt-5.5,5,5,5,4,5,4,5,4,5,0,,accept,4,"Strong sequential analysis with clear themes and good preservation of ambiguity and bounded connection, only slightly less codebook-rich than B3."
gpt-5.4,syn_candor_01,2,B5,gpt-5.6-sol,4,5,5,4,5,4,4,5,4,0,,revise,4,"Clean and contract-faithful, but compared with the top runs it compresses the packet into fewer analytic distinctions and leaves more of the interactional trajectory unstated."
gpt-5.4,syn_candor_01,3,B1,gpt-5.6-sol,4,5,5,4,5,4,4,5,4,0,,revise,4,"Solid, accurate, and well-bounded, especially on repair and support timing, but it is more compressed and somewhat less analytically textured than the strongest run-3 outputs."
gpt-5.4,syn_candor_01,3,B2,gpt-5.6-luna,4,5,4,4,5,4,4,5,4,0,,revise,4,"Clear and contract-compliant with good boundary handling, though it is brief and less differentiated in codebook/thematic detail than higher-ranked candidates."
gpt-5.4,syn_candor_01,3,B3,gpt-5.6-terra,4,5,5,4,5,5,4,4,4,0,,revise,3,"Useful and well-evidenced overall, but the thematic organization is a bit more fragmented and less immediately parsimonious than the best run-3 alternatives."
gpt-5.4,syn_candor_01,3,B4,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Strongest run-3 submission: highly usable codebook, clear interactional claims, and good preservation of ambiguity, repair, and connection-with-boundary dynamics."
gpt-5.4,syn_candor_01,3,B5,gpt-5.5,5,5,5,4,5,5,5,4,5,0,,accept,4,"Nearly as strong as B4, with especially good synthesis of negotiated support, cue repair, and boundaries that preserve connection; only slightly less crisp in thematic separation."
gpt-5.4,syn_dreaddit_01,1,B1,gpt-5.6-luna,4,5,4,4,5,4,4,4,4,0,,revise,3,"Well-grounded and contract-faithful, with solid handling of non-crisis and partial relief, but themes are somewhat compressed and less interpretively developed than the strongest candidates."
gpt-5.4,syn_dreaddit_01,1,B2,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,4,"Strongest balance of evidence, bounded claims, and usable coding structure; it preserves partial support, help-seeking burden, and explicit non-crisis or resolution cases without overgeneralizing."
gpt-5.4,syn_dreaddit_01,1,B3,gpt-5.6-sol,4,5,4,4,5,4,4,4,4,0,,revise,3,"Careful and evidence-linked, especially on partial relief and temporal change, but it is somewhat thinner and less discriminating across constructs than the top two runs."
gpt-5.4,syn_dreaddit_01,1,B4,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,4,"Most complete and nuanced run: it captures overlap, manageability, heterogeneous current status, and mixed valence while staying closely bounded to packet wording and exact evidence."
gpt-5.4,syn_dreaddit_01,1,B5,gpt-5.6-terra,4,5,4,3,4,4,4,5,4,0,,revise,3,"Concise and mostly warranted, but it is less complete on negative cases and interpretive differentiation than the stronger candidates, especially around the packet's heterogeneous current-status cases."
gpt-5.4,syn_dreaddit_01,2,B1,gpt-5.6-sol,4,5,4,4,5,4,4,5,4,0,,revise,3,"A careful, bounded analysis with good partial-versus-complete relief distinctions, but it is slimmer and less analytically expansive than the best run in this bundle."
gpt-5.4,syn_dreaddit_01,2,B2,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Best overall bundle member here: strong evidence use, clear codebook, preserved boundedness, and a helpful distinction among vigilance, partial support, help-seeking burden, and resolution."
gpt-5.4,syn_dreaddit_01,2,B3,gpt-5.5,4,5,4,3,4,4,4,5,4,0,,revise,3,"Reasonable and mostly well-supported, especially on partial relief, but it is less complete on negative-case preservation and thematic coverage than the top candidates."
gpt-5.4,syn_dreaddit_01,2,B4,gpt-5.6-terra,4,5,4,3,4,4,3,5,4,0,,revise,3,"Grounded and concise, but the analysis is relatively thin and leaves less interpretive payoff, particularly around heterogeneous current status and distinctions among different kinds of resource effects."
gpt-5.4,syn_dreaddit_01,2,B5,gpt-5.6-luna,3,5,3,3,4,3,3,5,3,0,,revise,3,"Contract-safe and compact, yet noticeably underdeveloped relative to peers: fewer distinctions, fewer preserved boundary cases, and less useful codebook structure for downstream analytic work."
gpt-5.4,syn_dreaddit_01,3,B1,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,4,"Most balanced run in this bundle, with strong evidence linkage, nuanced temporal and mixed-valence handling, and a clear codebook that remains bounded to packet text."
gpt-5.4,syn_dreaddit_01,3,B2,gpt-5.4,5,5,4,4,5,5,5,4,5,0,,accept,4,"Very strong and useful, especially on stacked practical demands and partial relief, though slightly less complete than B1 on preserving the packet's heterogeneity and mixed-status nuance."
gpt-5.4,syn_dreaddit_01,3,B3,gpt-5.6-luna,4,5,4,3,4,4,4,5,4,0,,revise,3,"Competent and bounded, but thinner than the leading runs in theme development and negative-case preservation, with fewer distinctions among pressure, relief, and current-status variation."
gpt-5.4,syn_dreaddit_01,3,B4,gpt-5.6-terra,4,5,4,4,5,4,4,4,4,0,,revise,3,"A solid, contract-aligned analysis that preserves key boundary cases, but it is not as rich or discriminating as the top two candidates in this run."
gpt-5.4,syn_dreaddit_01,3,B5,gpt-5.6-sol,5,5,5,4,5,4,5,4,5,0,,accept,4,"Strong evidential and contextual performance, particularly on residual strain, help-seeking burden, and temporal qualification; slightly leaner codebook usability keeps it just behind B1."
gpt-5.4,syn_kodis_01,1,B1,gpt-5.6-luna,4,5,4,2,4,4,4,4,4,0,,revise,4,"Well grounded and sequential, but the negative cases are thin and under-specified relative to the packet's strongest boundary case around escalation."
gpt-5.4,syn_kodis_01,1,B2,gpt-5.6-terra,4,5,4,3,4,4,4,4,4,0,,accept,4,"Clear and usable analysis that keeps repair and impasse distinct, though it is less nuanced than the best runs on boundary conditions and interactional contrast."
gpt-5.4,syn_kodis_01,1,B3,gpt-5.6-sol,5,5,5,4,5,4,5,4,5,0,,accept,4,"Strong contract fit with good sequential framing, explicit caution against trait inference, and a well-bounded impasse account."
gpt-5.4,syn_kodis_01,1,B4,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Most complete run: it differentiates evidence, tone repair, flexibility, and impasse without overclaiming, and the codebook is especially usable."
gpt-5.4,syn_kodis_01,1,B5,gpt-5.5,4,5,4,3,4,4,4,4,4,0,,revise,4,"Solid overall and appropriately bounded, but its named negative cases are less persuasive and the theme structure is a bit more generic than the top entries."
gpt-5.4,syn_kodis_01,2,B1,gpt-5.6-luna,3,5,4,2,4,3,3,5,3,0,,revise,4,"Compact and mostly accurate, but it compresses the packet too far, with weak boundary-case handling and a less informative codebook."
gpt-5.4,syn_kodis_01,2,B2,gpt-5.6-terra,4,5,4,3,4,4,4,4,4,0,,revise,4,"Credible and bounded reading with decent codebook structure, though it offers less contrastive insight than the stronger runs."
gpt-5.4,syn_kodis_01,2,B3,gpt-5.6-sol,5,5,5,4,5,4,5,4,5,0,,accept,4,"Strongest balance of support, interactional nuance, and restraint; it captures both productive verification and escalation without flattening them."
gpt-5.4,syn_kodis_01,2,B4,gpt-5.5,4,5,5,3,5,4,4,4,4,0,,accept,4,"Well-bounded and sequentially aware, with good tone-repair handling, but slightly less nuanced than the top run on flexibility and evidentiary contrast."
gpt-5.4,syn_kodis_01,2,B5,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,4,"Very strong and useful output that preserves structural constraints, interactional friction, and alternative readings while remaining concise enough to apply."
gpt-5.4,syn_kodis_01,3,B1,gpt-5.4,4,5,4,3,4,5,4,4,4,0,,accept,4,"A strong and usable run with clear code definitions and good repair-versus-impasse contrast, though its negative-case selection is less convincing than the best entries."
gpt-5.4,syn_kodis_01,3,B2,gpt-5.6-sol,5,5,5,4,5,4,5,4,5,0,,accept,4,Highly credible sequential analysis that preserves uncertainty and keeps verification context-dependent rather than inherently good or bad.
gpt-5.4,syn_kodis_01,3,B3,gpt-5.6-terra,4,5,4,2,4,4,4,4,4,0,,revise,4,"Generally sound, but the negative-case treatment is weak and the thematic account is less discriminating about when verification aids repair versus when it hardens conflict."
gpt-5.4,syn_kodis_01,3,B4,gpt-5.5,5,5,5,4,5,5,5,4,5,0,,accept,4,"Best run in this bundle: it is well supported, interactionally precise, and especially good at separating procedural legitimacy from interactional effect."
gpt-5.4,syn_kodis_01,3,B5,gpt-5.6-luna,3,5,4,2,4,3,3,5,3,0,,revise,4,"Accurate at a high level, but too compressed to preserve the packet's richer contrasts around tone repair, flexibility, and boundary conditions."
gpt-5.5,syn_agyw_01,1,B1,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strong bounded analysis covering money, care, digital access, privacy, support, the adult-participant disagreement, AG_E10, and AG_E12 without overgeneralizing."
gpt-5.5,syn_agyw_01,1,B2,gpt-5.4,5,5,4,5,5,5,5,4,5,0,,accept,4,"Very strong coverage and useful themes, though four themes and some broad phrasing make it slightly less parsimonious than the best runs."
gpt-5.5,syn_agyw_01,1,B3,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"Excellent balance of evidence, boundaries, translated-metaphor caution, and negative cases; compact while preserving all designed constructs."
gpt-5.5,syn_agyw_01,1,B4,gpt-5.6-terra,4,5,4,4,4,4,4,5,4,0,,accept,4,"Solid and concise, but less complete on AG_E12 and the uneven digital-access exception than the top candidates."
gpt-5.5,syn_agyw_01,1,B5,gpt-5.6-luna,3,5,3,4,4,4,3,4,3,1,hidden_source_concentration,revise,4,"All assignments are present, but the two broad themes underuse available evidence and list broader source coverage than the cited warrants support."
gpt-5.5,syn_agyw_01,2,B1,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"Compact, well-warranted, and careful about AG_E10, AG_E04, and AG_E12; covers all excerpts with usable codes and bounded themes."
gpt-5.5,syn_agyw_01,2,B2,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Most complete thematic separation of structural tradeoffs, tailored supports, and health-information privacy, with strong negative-case preservation."
gpt-5.5,syn_agyw_01,2,B3,gpt-5.6-luna,3,5,3,3,3,3,3,5,3,1,contextual_flattening,revise,4,"Schema-complete and accurate quotes, but themes and memo are too thin, with limited treatment of adult contestation, AG_E12, digital timing, and privacy complexity."
gpt-5.5,syn_agyw_01,2,B4,gpt-5.5,4,5,4,4,4,4,4,5,4,0,,accept,4,"Clear and economical with good boundaries, though only two themes leave some designed constructs less analytically developed."
gpt-5.5,syn_agyw_01,2,B5,gpt-5.6-terra,3,5,3,3,4,4,3,5,3,1,contextual_flattening,revise,4,Accurate but sparse; relies on few evidence points and gives limited attention to the translated metaphor and adult-participant disagreement.
gpt-5.5,syn_agyw_01,3,B1,gpt-5.6-terra,4,5,4,4,4,4,4,4,4,0,,accept,4,"Generally sound, but some themes are lightly evidenced and one theme lists broader source coverage than its within-theme evidence supports."
gpt-5.5,syn_agyw_01,3,B2,gpt-5.6-sol,4,5,5,5,5,4,4,5,4,0,,accept,4,"Strong boundaries and negative cases in a concise two-theme analysis, though it is somewhat less complete on translated metaphor and the distinct school versus health pathways than the top runs."
gpt-5.5,syn_agyw_01,3,B3,gpt-5.6-luna,2,2,3,3,2,3,2,4,2,1,wrong_attribution,reject,5,"Several cited quotes are exact but assigned to the wrong source IDs, including AG_E08, AG_E09, and AG_E10; the analysis is also thin."
gpt-5.5,syn_agyw_01,3,B4,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Excellent construct coverage, careful boundaries, strong treatment of privacy, narrowed choices, adult contestation, AG_E10, and translated uncertainty."
gpt-5.5,syn_agyw_01,3,B5,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strongest run-three analysis overall: preserves structural constraints, privacy and timing, uneven workarounds, AG_E10, and the competing supervision account with precise warrants."
gpt-5.5,syn_candor_01,1,B1,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strong sequential account of inquiry, advice timing, ambiguous cues, and connection-preserving boundaries; quotes are exact and limitations are well bounded, with only slight expansiveness."
gpt-5.5,syn_candor_01,1,B2,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"Very well supported and compact; preserves advice as timing-specific, treats laughter and silence as negotiated, and keeps claims local, though it is a bit less elaborated than the fullest candidates."
gpt-5.5,syn_candor_01,1,B3,gpt-5.6-terra,4,5,4,4,4,5,4,4,4,1,hidden_source_concentration,revise,4,"Generally warranted and useful, but the job-advice theme is essentially single-conversation despite being presented with cross-source structure, and the counterevidence is weaker."
gpt-5.5,syn_candor_01,1,B4,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Excellent coverage of response fit, cue repair, and boundaries with exact evidence and thoughtful uncertainties; slightly broad but remains well bounded to the packet."
gpt-5.5,syn_candor_01,1,B5,gpt-5.6-luna,4,5,4,5,5,5,4,5,4,0,,accept,4,"Clean, concise, and contract-fitting, with good negative cases; compared with the strongest candidates it gives thinner evidence for the disclosure-invitation sequence and less developed sequential interpretation."
gpt-5.5,syn_candor_01,2,B1,gpt-5.6-luna,4,5,4,4,4,3,4,5,4,1,inconsistent_codebook,revise,4,"The themes are warranted and concise, but some assignments stretch the code definitions, especially treating the initial painting disclosure as a boundary, and coverage is thinner than stronger candidates."
gpt-5.5,syn_candor_01,2,B2,gpt-5.6-terra,4,5,4,4,5,4,4,5,4,0,,accept,4,A solid compact analysis with exact evidence and appropriate limitations; it preserves timing-specific advice and cue repair but develops fewer cross-case warrants.
gpt-5.5,syn_candor_01,2,B3,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Best balance of coverage and nuance: it preserves support fit, misread laughter and silence, advice as possibly caring but mistimed, and boundaries emerging from indirectness without overgeneralizing."
gpt-5.5,syn_candor_01,2,B4,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strong and well bounded, with clear codebook and themes that track questions, repair, and connection-preserving boundaries; slightly less elegant than B3 but fully acceptable."
gpt-5.5,syn_candor_01,2,B5,gpt-5.6-sol,5,5,5,4,5,5,4,5,5,0,,accept,4,"Very clean, accurate, and concise; it covers the main anchors and avoids overclaiming, though negative-case treatment and interpretive depth are a little lighter than the top pair."
gpt-5.5,syn_candor_01,3,B1,gpt-5.6-sol,5,5,5,5,5,5,5,5,5,0,,accept,5,"Excellent concise analysis of support timing and ambiguous cue repair, with exact evidence, useful negative cases, and careful boundaries around durability and intent."
gpt-5.5,syn_candor_01,3,B2,gpt-5.6-luna,4,5,4,4,5,4,4,5,4,0,,accept,4,"Accurate and parsimonious, but thinner than peers on open-question disclosure and on the sequential repair of silence and laughter."
gpt-5.5,syn_candor_01,3,B3,gpt-5.6-terra,3,5,4,4,3,4,4,4,3,1,hidden_source_concentration,revise,4,"Mostly sensible, but one theme claims a cross-conversation support process while relying almost entirely on the painting exchange for positive evidence, with other sources appearing only as counterevidence."
gpt-5.5,syn_candor_01,3,B4,gpt-5.4,4,5,5,4,4,5,5,4,4,0,,accept,4,"Rich and context-preserving, with strong codebook usability; a few counterevidence choices are weak or not true countercases, but the main claims remain warranted."
gpt-5.5,syn_candor_01,3,B5,gpt-5.5,5,5,5,5,5,5,5,5,5,0,,accept,5,"Strongest alongside B1: covers useful support as negotiated, misread cues, and boundaries with connection; quotes are exact and limitations explicitly prevent trait or diagnostic overreach."
gpt-5.5,syn_dreaddit_01,1,B1,gpt-5.6-luna,4,5,4,4,4,4,4,5,4,0,,accept,4,"Well-supported, concise analysis with exact evidence and good bounded claims. It preserves non-crisis and resolution cases, though DR_E11 is not named as a priority negative case and DR_E12 is slightly overfolded into mixed state."
gpt-5.5,syn_dreaddit_01,1,B2,gpt-5.5,5,5,5,5,5,5,5,4,5,0,,accept,5,"Strongest run: complete, evidence-linked, and nuanced about partial supports, help-seeking burden, temporal resolution, and mixed valence. The codebook is usable and the claims stay carefully bounded, with no quote or attribution problems found."
gpt-5.5,syn_dreaddit_01,1,B3,gpt-5.6-sol,4,5,4,4,4,4,4,5,4,0,,accept,4,"Sound and parsimonious, with exact quotes and good attention to partial relief and resolved cases. It is a bit less granular than top candidates, especially around mixed positive strain and help-seeking burden, but remains contract-compliant."
gpt-5.5,syn_dreaddit_01,1,B4,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Very strong coverage of all designed constructs, including DR_E03, DR_E08, DR_E11, mixed affect, and bounded support. Four themes are slightly fuller than necessary, but they remain grounded, distinct, and context-preserving."
gpt-5.5,syn_dreaddit_01,1,B5,gpt-5.6-terra,4,5,4,4,4,4,4,5,4,0,,accept,4,"Good, bounded analysis with exact quotes and useful codes. It is slightly thinner on negative cases, omitting DR_E11 from the negative-case list, and the theme set is less interpretively rich than B2 or B4."
gpt-5.5,syn_dreaddit_01,2,B1,gpt-5.6-sol,4,5,4,4,4,4,4,5,4,0,,accept,4,"Clear and concise with exact evidence and good treatment of partial and complete shifts. It preserves DR_E03 and DR_E08 and names DR_E12 as a limitation case, but the two-theme structure leaves help-seeking and mixed valence somewhat compressed."
gpt-5.5,syn_dreaddit_01,2,B2,gpt-5.4,4,5,4,4,4,4,4,4,4,0,,accept,4,"Useful and grounded, especially on help-seeking burden and bounded support. It is slightly less complete on the priority negative cases because DR_E11 is not foregrounded as manageable demand, and some claims are broader than the evidence warrants."
gpt-5.5,syn_dreaddit_01,2,B3,gpt-5.5,4,5,4,3,4,4,3,5,4,0,,revise,4,"Schema- and evidence-clean, but comparatively coarse. It captures overlap and partial support while giving less attention to DR_E11 as a priority boundary case and to mixed positive/negative states beyond the main support theme."
gpt-5.5,syn_dreaddit_01,2,B4,gpt-5.6-terra,3,5,3,3,4,4,3,5,3,0,,revise,4,"Accurate but thin. The codebook is usable and exact, yet themes rely on minimal evidence and provide limited interpretive development, with DR_E11 and mixed valence handled more as counters than as analytic constructs."
gpt-5.5,syn_dreaddit_01,2,B5,gpt-5.6-luna,3,5,3,3,4,3,3,5,3,0,,revise,4,"Very terse and mostly correct, but the broad themes are underdeveloped and the code definitions are generic. It preserves DR_E03 and DR_E08 but does not adequately surface DR_E11 or the packet's richer mixed-valence boundary cases."
gpt-5.5,syn_dreaddit_01,3,B1,gpt-5.5,5,5,5,4,5,5,5,4,5,0,,accept,5,"Strong, grounded, and nuanced. It captures material scarcity, embodied vigilance, relational relief, temporal change, and ambivalent positive demand without diagnosing DR_E07 or generalizing beyond the packet, though DR_E11 is not listed among negative cases."
gpt-5.5,syn_dreaddit_01,3,B2,gpt-5.4,4,5,4,4,4,4,4,4,4,0,,accept,4,"Solid and evidence-clean, with helpful attention to partial relief and temporal change. It is slightly less attentive to mixed positive/negative valence in DR_E12 and repeats some support evidence, but remains bounded and useful."
gpt-5.5,syn_dreaddit_01,3,B3,gpt-5.6-luna,3,5,3,3,4,3,3,5,3,0,,revise,4,"Valid but quite skeletal. It covers the main constructs and exact evidence, yet code definitions and themes are generic, with limited preservation of help-seeking burden, DR_E11 manageability, and the mixed-valence designed cases."
gpt-5.5,syn_dreaddit_01,3,B4,gpt-5.6-terra,4,5,4,4,4,4,4,4,4,0,,accept,4,"Good balanced coverage with exact evidence and explicit temporal qualification. The resources theme is a little under-supported and uses DR_E10 as both evidence and counter, but the overall reading is bounded and source-preserving."
gpt-5.5,syn_dreaddit_01,3,B5,gpt-5.6-sol,4,5,4,4,4,4,4,4,4,0,,accept,4,"Compact and accurate, with good attention to partial relief, inactive problems, and limits on inference. It is less interpretively rich than B1 and somewhat merges social coping with self-structure, but it preserves the main boundaries."
gpt-5.5,syn_kodis_01,1,B1,gpt-5.6-luna,4,5,4,4,4,4,4,5,4,0,,accept,4,"Strong bounded account of evidence, wording repair, and demand repetition. Some theme source coverage is slightly loose because a one-dialogue impasse claim is listed with a counterexample source, but claims remain well supported."
gpt-5.5,syn_kodis_01,1,B2,gpt-5.6-terra,5,5,5,4,5,5,5,5,5,0,,accept,5,"Very usable codebook and themes: verification is distinguished from rigid verification, tone repair is bounded to two dialogues, and impasse is preserved without judging legal correctness."
gpt-5.5,syn_kodis_01,1,B3,gpt-5.6-sol,5,5,5,5,5,5,5,4,5,0,,accept,5,"Best-balanced analysis: preserves sequence, reciprocal rigidity, KO_E11 as hard-gated verification, KO_E12 as appeal rather than final outcome, and offers useful alternatives. Slightly less parsimonious than shorter outputs but warranted."
gpt-5.5,syn_kodis_01,1,B4,gpt-5.4,4,3,5,5,4,5,5,4,4,2,fabricated_or_altered_quote|wrong_attribution,revise,5,"Analytically rich and preserves reciprocal impasse, but one cited quote, 'giving a date,' is attributed to KO_E05 although that phrase is not in that excerpt, requiring repair before acceptance."
gpt-5.5,syn_kodis_01,1,B5,gpt-5.5,5,5,4,4,4,4,4,5,4,1,inconsistent_codebook,revise,4,"Generally well supported and concise, with good treatment of dyadic impasse and platform appeal. The tone code imports laughter/silence, which are absent from KODIS and weakens codebook fit, though the substantive themes are usable."
gpt-5.5,syn_kodis_01,2,B1,gpt-5.6-luna,3,5,3,3,3,3,3,5,3,1,contextual_flattening,revise,4,"Parseable and concise, but the codebook is thin for wording repair and treats KO_E04 as demand impasse. It also risks flattening the fourth dialogue into refusal to provide required evidence rather than reciprocal incompatible demands."
gpt-5.5,syn_kodis_01,2,B2,gpt-5.6-terra,4,5,4,4,4,4,4,5,4,0,,accept,4,"Solid bounded account with complete assignments and exact quotes. It covers repair and impasse well, though negative cases and interpretive differentiation are less developed than the strongest candidates."
gpt-5.5,syn_kodis_01,2,B3,gpt-5.6-sol,5,5,5,4,5,5,5,5,5,0,,accept,5,"Strong, compact, and well bounded. It captures recognition plus evidence-linked steps and reciprocal procedural rigidity, while preserving KO_E12 and avoiding role or culture stereotyping."
gpt-5.5,syn_kodis_01,2,B4,gpt-5.5,5,5,5,5,5,5,5,5,5,0,,accept,5,"Excellent contract fit: verifiable next steps, tone repair, conditional acceptance, and reciprocal impasse are separated cleanly, with KO_E10 and KO_E11 both preserved as contributors to deadlock."
gpt-5.5,syn_kodis_01,2,B5,gpt-5.4,5,5,5,5,5,5,5,4,5,0,,accept,5,"Highly useful and well supported. It explicitly distinguishes verification as a repair route from repeated firm requirements, keeps the platform appeal bounded, and gives strong negative cases, though it is slightly more expansive than B4."
gpt-5.5,syn_kodis_01,3,B1,gpt-5.4,5,5,5,4,5,5,5,4,5,0,,accept,5,"Strong evidence-grounded treatment of verification, tone repair, flexibility, and symmetric hardening. It preserves the impasse boundary and avoids role or culture claims, though negative cases are a little less complete than the best."
