judge_model_id,packet_id,run_index,blind_id,model_id,output_id,evidential_credibility,voice_boundary_preservation,scope_calibration,cannot_judge,confidence,serious_error_count,serious_error_flags,rationale
gpt-5.6-sol,syn_agyw_01,1,B1,gpt-5.5,syn_agyw_01__run1__gpt-5.5,5,5,5,,5,0,,"Structural constraints, privacy, support inequality, AG_E10, and the uncertainty of AG_E12 are all retained; the metaphor is not elevated into a standalone generated concept."
gpt-5.6-sol,syn_agyw_01,1,B2,gpt-5.4,syn_agyw_01__run1__gpt-5.4,5,5,4,,5,0,,"The output strongly preserves disagreement and uneven access; 'participants largely' is cautious but broader than the few cited accounts, and AG_E12 remains interactional rather than a matched concept."
gpt-5.6-sol,syn_agyw_01,1,B3,gpt-5.6-sol,syn_agyw_01__run1__gpt-5.6-sol,5,5,5,,5,0,,"Claims are source-linked and retain AG_E10, adult-versus-participant contestation, privacy, and moderator uncertainty without population generalization."
gpt-5.6-sol,syn_agyw_01,1,B4,gpt-5.6-terra,syn_agyw_01__run1__gpt-5.6-terra,5,4,5,,5,0,,"The core access and disagreement patterns are exact, but the translated-metaphor uncertainty is not represented and AG_E12 is absent from the explicit negative cases."
gpt-5.6-sol,syn_agyw_01,1,B5,gpt-5.6-luna,syn_agyw_01__run1__gpt-5.6-luna,4,4,5,,5,0,,"The analysis is bounded and directionally sound but thematically sparse, with uneven support and translated-metaphor uncertainty mainly left to negative cases or memoing."
gpt-5.6-sol,syn_agyw_01,2,B1,gpt-5.6-sol,syn_agyw_01__run2__gpt-5.6-sol,5,5,5,,5,0,,"Exact evidence preserves resource and timing constraints, privacy, AG_E10's exceptional support, adult blame, and AG_E12 as an unsettled clarification."
gpt-5.6-sol,syn_agyw_01,2,B2,gpt-5.4,syn_agyw_01__run2__gpt-5.4,4,3,4,,5,2,unsupported_inference|contextual_flattening,"Most claims are supported, but T03 uses moderator question AG_E12 as evidence that timing shapes access, underplaying that its meaning remains unsettled."
gpt-5.6-sol,syn_agyw_01,2,B3,gpt-5.6-luna,syn_agyw_01__run2__gpt-5.6-luna,4,4,5,,5,0,,"The compact account is evidence-linked and preserves AG_E10 and AG_E12, but adult-versus-participant disagreement and privacy/proximity distinctions are only coarsely synthesized."
gpt-5.6-sol,syn_agyw_01,2,B4,gpt-5.5,syn_agyw_01__run2__gpt-5.5,5,4,5,,5,0,,"The structural, privacy, and support findings are exact and bounded; translated-metaphor uncertainty is not recovered as a generated concept."
gpt-5.6-sol,syn_agyw_01,2,B5,gpt-5.6-terra,syn_agyw_01__run2__gpt-5.6-terra,4,4,5,,5,0,,"Core constraints and workarounds are supported, but the synthesis is thin on uneven continuity and leaves the AG_E11/AG_E12 interpretive uncertainty outside codes and themes."
gpt-5.6-sol,syn_agyw_01,3,B1,gpt-5.6-terra,syn_agyw_01__run3__gpt-5.6-terra,5,4,5,,5,0,,"Evidence and scope are strong, with AG_E10 and adult contestation preserved; the translated metaphor is not represented as an uncertain generated concept."
gpt-5.6-sol,syn_agyw_01,3,B2,gpt-5.6-sol,syn_agyw_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"The output remains cautious, preserves AG_E10 and AG_E12 as negative cases, and distinguishes usable access from formal availability, though blame contestation is stronger in codes than themes."
gpt-5.6-sol,syn_agyw_01,3,B3,gpt-5.6-luna,syn_agyw_01__run3__gpt-5.6-luna,2,3,4,,5,1,wrong_attribution,"Several quoted passages are real substrings but are assigned to the wrong source IDs for AG_E08, AG_E09, and AG_E10, materially weakening evidence and voice tracking."
gpt-5.6-sol,syn_agyw_01,3,B4,gpt-5.5,syn_agyw_01__run3__gpt-5.5,5,5,5,,5,0,,"Exact evidence preserves the adult-participant disagreement, privacy barriers, AG_E10 exception, and AG_E12 uncertainty, while keeping all scope local to the packet."
gpt-5.6-sol,syn_agyw_01,3,B5,gpt-5.4,syn_agyw_01__run3__gpt-5.4,5,4,5,,5,0,,"The three major themes are strongly warranted and support inequality is explicit, but the translated-metaphor clarification is omitted as a generated concept and from negative cases."
gpt-5.6-sol,syn_candor_01,1,B1,gpt-5.5,syn_candor_01__run1__gpt-5.5,5,5,5,,5,0,,"Exact sequential evidence preserves question-led safety, advice timing, cue repair, future metacommunication, and affiliation with refusal."
gpt-5.6-sol,syn_candor_01,1,B2,gpt-5.6-sol,syn_candor_01__run1__gpt-5.6-sol,5,5,5,,5,0,,"The analysis remains interactional and bounded, retaining well-intended advice, revised laughter and silence, and CA_E09's connection-preserving limit."
gpt-5.6-sol,syn_candor_01,1,B3,gpt-5.6-terra,syn_candor_01__run1__gpt-5.6-terra,5,4,5,,5,0,,"All core processes are supported, but CA_E09's affiliation-with-refusal boundary is less explicitly identified as a negative case than advice timing and indirectness."
gpt-5.6-sol,syn_candor_01,1,B4,gpt-5.4,syn_candor_01__run1__gpt-5.4,5,5,5,,5,0,,"Evidence is exact and sequential, with boundaries consistently interpreted as workable connection rather than withdrawal."
gpt-5.6-sol,syn_candor_01,1,B5,gpt-5.6-luna,syn_candor_01__run1__gpt-5.6-luna,4,5,5,,5,0,,"The two themes are fully bounded and preserve both priority cases, though the evidential development is thinner than in other candidates."
gpt-5.6-sol,syn_candor_01,2,B1,gpt-5.6-luna,syn_candor_01__run2__gpt-5.6-luna,4,4,5,,5,1,inconsistent_codebook,"The themes are supported, but CA_E01 and CA_E03 are assigned to code definitions they do not meet, weakening how vulnerability and safer sharing are represented."
gpt-5.6-sol,syn_candor_01,2,B2,gpt-5.6-terra,syn_candor_01__run2__gpt-5.6-terra,5,5,5,,5,0,,Exact evidence preserves the four sequential processes; affiliation with refusal is present in codes and assignments but not explicit as a theme-level concept.
gpt-5.6-sol,syn_candor_01,2,B3,gpt-5.4,syn_candor_01__run2__gpt-5.4,5,5,5,,5,0,,"The output clearly distinguishes local support fit, ambiguous-cue repair, and connection-preserving limits without trait claims."
gpt-5.6-sol,syn_candor_01,2,B4,gpt-5.5,syn_candor_01__run2__gpt-5.5,5,5,5,,5,0,,"All designed distinctions are directly evidenced, including CA_E09's refusal within affiliation and CA_E12's future repair cue."
gpt-5.6-sol,syn_candor_01,2,B5,gpt-5.6-sol,syn_candor_01__run2__gpt-5.6-sol,5,4,5,,5,0,,"Support and cue repair are exact and bounded, but the generated concepts do not explicitly preserve affiliation and disagreement as a combined boundary construct."
gpt-5.6-sol,syn_candor_01,3,B1,gpt-5.6-sol,syn_candor_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"Exact evidence preserves advice timing, mixed laughter, revised silence, and bounded preferences; affiliation-with-refusal is clearer in coding than thematic synthesis."
gpt-5.6-sol,syn_candor_01,3,B2,gpt-5.6-luna,syn_candor_01__run3__gpt-5.6-luna,4,5,5,,5,0,,"The compact analysis is accurately scoped and preserves both priority cases, though its supporting evidence and warrants are comparatively sparse."
gpt-5.6-sol,syn_candor_01,3,B3,gpt-5.6-terra,syn_candor_01__run3__gpt-5.6-terra,4,4,5,,5,0,,"Most sequential claims are sound, but question-led safety is evidenced only from one conversation and affiliation with refusal is not explicitly synthesized."
gpt-5.6-sol,syn_candor_01,3,B4,gpt-5.4,syn_candor_01__run3__gpt-5.4,5,5,5,,5,0,,"The analysis exactly supports response fit, cue reinterpretation, future repair, and boundaries that preserve connection while specifying limits."
gpt-5.6-sol,syn_candor_01,3,B5,gpt-5.5,syn_candor_01__run3__gpt-5.5,5,5,5,,5,0,,"All five reference processes are recovered with exact evidence, explicit boundary cases, and scope limited to the four short conversations."
gpt-5.6-sol,syn_dreaddit_01,1,B1,gpt-5.6-luna,syn_dreaddit_01__run1__gpt-5.6-luna,5,5,5,,5,0,,"Exact evidence supports situated demand, embodied strain, graded relief, and explicit non-crisis/resolution cases; mixed humor and strain are retained."
gpt-5.6-sol,syn_dreaddit_01,1,B2,gpt-5.5,syn_dreaddit_01__run1__gpt-5.5,5,5,5,,5,0,,"The analysis uses exact excerpts and clearly separates active pressure, resolution, partial support, and mixed affect without population claims."
gpt-5.6-sol,syn_dreaddit_01,1,B3,gpt-5.6-sol,syn_dreaddit_01__run1__gpt-5.6-sol,5,5,5,,5,0,,"Material and bodily demands are directly warranted, while DR_E03, DR_E08, and positive strain in DR_E12 constrain a uniform stress reading."
gpt-5.6-sol,syn_dreaddit_01,1,B4,gpt-5.4,syn_dreaddit_01__run1__gpt-5.4,5,5,5,,5,0,,"All designed boundaries are explicit, including DR_E11 manageability and the relief, humor, and pride that coexist with burdens."
gpt-5.6-sol,syn_dreaddit_01,1,B5,gpt-5.6-terra,syn_dreaddit_01__run1__gpt-5.6-terra,5,4,5,,5,0,,"Evidence and scope are strong, but mixed positive experience is synthesized mainly through the support theme and is less explicit than temporal resolution."
gpt-5.6-sol,syn_dreaddit_01,2,B1,gpt-5.6-sol,syn_dreaddit_01__run2__gpt-5.6-sol,5,5,5,,5,0,,"Exact citations and negative cases preserve current non-crisis, resolved pressure, partial resources, and mixed promotion strain."
gpt-5.6-sol,syn_dreaddit_01,2,B2,gpt-5.4,syn_dreaddit_01__run2__gpt-5.4,5,4,5,,5,0,,"Claims remain packet-bounded and well supported, though positive or humorous coexistence is less fully developed than material pressure and coping."
gpt-5.6-sol,syn_dreaddit_01,2,B3,gpt-5.5,syn_dreaddit_01__run2__gpt-5.5,5,4,5,,5,0,,The main pressure/resource account is exact and cautious; temporal resolution is preserved in codes and negative cases but not independently synthesized.
gpt-5.6-sol,syn_dreaddit_01,2,B4,gpt-5.6-terra,syn_dreaddit_01__run2__gpt-5.6-terra,5,4,5,,5,0,,"Exact evidence supports both themes, while resolved and mixed-status cases remain visible mostly as code and negative-case boundaries."
gpt-5.6-sol,syn_dreaddit_01,2,B5,gpt-5.6-luna,syn_dreaddit_01__run2__gpt-5.6-luna,4,4,5,,5,0,,The compact output is bounded and accurate but underdevelops temporal differentiation and relies on a broad relief theme for several distinct boundary cases.
gpt-5.6-sol,syn_dreaddit_01,3,B1,gpt-5.5,syn_dreaddit_01__run3__gpt-5.5,5,5,5,,5,0,,"Exact evidence differentiates collision of demands, embodied vigilance, partial resources, resolved problems, and ambivalent positive change."
gpt-5.6-sol,syn_dreaddit_01,3,B2,gpt-5.4,syn_dreaddit_01__run3__gpt-5.4,5,5,5,,5,0,,The analysis is fully bounded and preserves both temporal non-crisis cases and relief or humor that coexists with continuing burden.
gpt-5.6-sol,syn_dreaddit_01,3,B3,gpt-5.6-luna,syn_dreaddit_01__run3__gpt-5.6-luna,4,4,5,,5,0,,"The sparse synthesis is supportable and scoped correctly, but temporal and mixed-valence distinctions receive limited thematic treatment."
gpt-5.6-sol,syn_dreaddit_01,3,B4,gpt-5.6-terra,syn_dreaddit_01__run3__gpt-5.6-terra,5,4,5,,5,0,,Evidence is exact and current resolution is explicit; positive and difficult meanings coexist in codes but are only indirectly synthesized.
gpt-5.6-sol,syn_dreaddit_01,3,B5,gpt-5.6-sol,syn_dreaddit_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"The output accurately spans material and embodied pressure, partial and complete relief, and mixed promotion strain without overgeneralizing."
gpt-5.6-sol,syn_kodis_01,1,B1,gpt-5.6-luna,syn_kodis_01__run1__gpt-5.6-luna,4,5,5,,5,0,,"Repair and impasse are well bounded, but T01 says three dialogues while its displayed theme evidence comes only from Dialogues 02 and 03."
gpt-5.6-sol,syn_kodis_01,1,B2,gpt-5.6-terra,syn_kodis_01__run1__gpt-5.6-terra,5,5,5,,5,0,,"Exact evidence distinguishes verification-plus-remedy, wording repair, conditional accommodation, and the unresolved platform escalation."
gpt-5.6-sol,syn_kodis_01,1,B3,gpt-5.6-sol,syn_kodis_01__run1__gpt-5.6-sol,5,5,5,,5,0,,The output grounds repair across dialogues and preserves KO_E12 as a contrasting impasse without assigning legal correctness or stable intent.
gpt-5.6-sol,syn_kodis_01,1,B4,gpt-5.4,syn_kodis_01__run1__gpt-5.4,4,5,5,,5,1,fabricated_or_altered_quote,"The interactional analysis is strong, but the counterevidence phrase 'giving a date' is not an exact contiguous quotation from KO_E05."
gpt-5.6-sol,syn_kodis_01,1,B5,gpt-5.5,syn_kodis_01__run1__gpt-5.5,5,5,5,,5,0,,"The three dialogues that repair and the fourth that escalates are distinguished with exact evidence, including wording acknowledgment and mutually unaccepted conditions."
gpt-5.6-sol,syn_kodis_01,2,B1,gpt-5.6-luna,syn_kodis_01__run2__gpt-5.6-luna,4,4,5,,5,0,,"The two-process contrast is bounded and supported, but repair is illustrated from only two dialogues and KO_E12 is carried in the theme rather than the negative-case list."
gpt-5.6-sol,syn_kodis_01,2,B2,gpt-5.6-terra,syn_kodis_01__run2__gpt-5.6-terra,4,5,5,,5,0,,"Claims are exact and cautious, although the 'first three dialogues' repair claim displays evidence from only Dialogues 02 and 03."
gpt-5.6-sol,syn_kodis_01,2,B3,gpt-5.6-sol,syn_kodis_01__run2__gpt-5.6-sol,5,5,5,,5,0,,"Exact evidence preserves recognition, reciprocal uptake, bounded next steps, and the unrepaired evidence threshold leading to platform appeal."
gpt-5.6-sol,syn_kodis_01,2,B4,gpt-5.5,syn_kodis_01__run2__gpt-5.5,5,5,5,,5,0,,"The output cleanly distinguishes evidence-based repair, received-wording repair, and fixed reciprocal demands, with no claim beyond the four dialogues."
gpt-5.6-sol,syn_kodis_01,2,B5,gpt-5.4,syn_kodis_01__run2__gpt-5.4,5,5,5,,5,0,,"Evidence, tone repair, flexible narrowing, impasse, and external escalation are all directly represented and correctly scoped."
gpt-5.6-sol,syn_kodis_01,3,B1,gpt-5.4,syn_kodis_01__run3__gpt-5.4,5,5,5,,5,0,,"The analysis is exact and interactional, preserving verification, wording uptake, flexibility, and the distinct policy-bound impasse."
gpt-5.6-sol,syn_kodis_01,3,B2,gpt-5.6-sol,syn_kodis_01__run3__gpt-5.6-sol,5,5,5,,5,0,,"Repair and hardening are both warranted, and the combined theme explicitly contrasts revised interpretation with external escalation."
gpt-5.6-sol,syn_kodis_01,3,B3,gpt-5.6-terra,syn_kodis_01__run3__gpt-5.6-terra,5,5,5,,5,0,,The output preserves reciprocal accommodation and the fourth dialogue's exit while remaining agnostic about universal procedural correctness.
gpt-5.6-sol,syn_kodis_01,3,B4,gpt-5.5,syn_kodis_01__run3__gpt-5.5,5,5,5,,5,0,,"Exact source-linked evidence differentiates accountable evidence work, tone repair, negotiated remedies, and mutually blocking refusal."
gpt-5.6-sol,syn_kodis_01,3,B5,gpt-5.6-luna,syn_kodis_01__run3__gpt-5.6-luna,4,4,5,,5,0,,"The compact contrast is appropriately scoped, but the claim spanning the first three dialogues and the shift to appeal are supported more fully outside the displayed theme evidence."
gpt-5.6-terra,syn_agyw_01,1,B1,gpt-5.5,syn_agyw_01__run1__gpt-5.5,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,1,B2,gpt-5.4,syn_agyw_01__run1__gpt-5.4,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,1,B3,gpt-5.6-sol,syn_agyw_01__run1__gpt-5.6-sol,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,1,B4,gpt-5.6-terra,syn_agyw_01__run1__gpt-5.6-terra,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,1,B5,gpt-5.6-luna,syn_agyw_01__run1__gpt-5.6-luna,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,2,B1,gpt-5.6-sol,syn_agyw_01__run2__gpt-5.6-sol,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,2,B2,gpt-5.4,syn_agyw_01__run2__gpt-5.4,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,2,B3,gpt-5.6-luna,syn_agyw_01__run2__gpt-5.6-luna,4,4,4,,4,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,2,B4,gpt-5.5,syn_agyw_01__run2__gpt-5.5,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,2,B5,gpt-5.6-terra,syn_agyw_01__run2__gpt-5.6-terra,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,3,B1,gpt-5.6-terra,syn_agyw_01__run3__gpt-5.6-terra,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
gpt-5.6-terra,syn_agyw_01,3,B2,gpt-5.6-sol,syn_agyw_01__run3__gpt-5.6-sol,5,5,5,,5,0,,Claims are locally grounded and retain the packet’s stated qualifications.
