dataset,metric_id,metric_profile_id,metric_condition_id,applicability,definition_variant,evaluation_reference,label_count,positive_label,denominator_basis,phase_method_restriction,prerequisite_or_reason,implementation_status
cache,micro_precision,C-CODING-v1,C-CODING-v1/micro_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,micro_precision,P-CODING-v1,P-CODING-v1/micro_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,micro_recall,D-STRESS-v1,D-STRESS-v1/micro_recall/dataset-metric-conditions-v1,applicable,binary_stress__micro_recall,released_stress_labels,2,stress=1,Compute recall using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,micro_recall,G-EMOTION28-v1,G-EMOTION28-v1/micro_recall/dataset-metric-conditions-v1,applicable,multilabel_emotion__micro_recall,released_emotion_label_sets,28,,Compute recall using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,micro_recall,C-CODING-v1,C-CODING-v1/micro_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,micro_recall,P-CODING-v1,P-CODING-v1/micro_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,micro_f1,D-STRESS-v1,D-STRESS-v1/micro_f1/dataset-metric-conditions-v1,applicable,binary_stress__micro_f1,released_stress_labels,2,stress=1,Compute f1 using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,micro_f1,G-EMOTION28-v1,G-EMOTION28-v1/micro_f1/dataset-metric-conditions-v1,applicable,multilabel_emotion__micro_f1,released_emotion_label_sets,28,,Compute f1 using micro averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,micro_f1,C-CODING-v1,C-CODING-v1/micro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,micro_f1,P-CODING-v1,P-CODING-v1/micro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,macro_precision,D-STRESS-v1,D-STRESS-v1/macro_precision/dataset-metric-conditions-v1,applicable,fixed_2_class__macro_precision,released_stress_labels,2,stress=1,2 fixed classes,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,macro_precision,G-EMOTION28-v1,G-EMOTION28-v1/macro_precision/dataset-metric-conditions-v1,applicable,fixed_28_label__macro_precision,released_emotion_label_sets,28,,28 fixed labels,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,macro_precision,C-CODING-v1,C-CODING-v1/macro_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,macro_precision,P-CODING-v1,P-CODING-v1/macro_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,macro_recall,D-STRESS-v1,D-STRESS-v1/macro_recall/dataset-metric-conditions-v1,applicable,fixed_2_class__macro_recall,released_stress_labels,2,stress=1,2 fixed classes,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,macro_recall,G-EMOTION28-v1,G-EMOTION28-v1/macro_recall/dataset-metric-conditions-v1,applicable,fixed_28_label__macro_recall,released_emotion_label_sets,28,,28 fixed labels,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,macro_recall,C-CODING-v1,C-CODING-v1/macro_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,macro_recall,P-CODING-v1,P-CODING-v1/macro_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,macro_f1,D-STRESS-v1,D-STRESS-v1/macro_f1/dataset-metric-conditions-v1,applicable,fixed_2_class__macro_f1,released_stress_labels,2,stress=1,2 fixed classes,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,macro_f1,G-EMOTION28-v1,G-EMOTION28-v1/macro_f1/dataset-metric-conditions-v1,applicable,fixed_28_label__macro_f1,released_emotion_label_sets,28,,28 fixed labels,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,macro_f1,C-CODING-v1,C-CODING-v1/macro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,macro_f1,P-CODING-v1,P-CODING-v1/macro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,weighted_precision,D-STRESS-v1,D-STRESS-v1/weighted_precision/dataset-metric-conditions-v1,applicable,binary_stress__weighted_precision,released_stress_labels,2,stress=1,Compute precision using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,weighted_precision,G-EMOTION28-v1,G-EMOTION28-v1/weighted_precision/dataset-metric-conditions-v1,applicable,multilabel_emotion__weighted_precision,released_emotion_label_sets,28,,Compute precision using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,weighted_precision,C-CODING-v1,C-CODING-v1/weighted_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,weighted_precision,P-CODING-v1,P-CODING-v1/weighted_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,weighted_recall,D-STRESS-v1,D-STRESS-v1/weighted_recall/dataset-metric-conditions-v1,applicable,binary_stress__weighted_recall,released_stress_labels,2,stress=1,Compute recall using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,weighted_recall,G-EMOTION28-v1,G-EMOTION28-v1/weighted_recall/dataset-metric-conditions-v1,applicable,multilabel_emotion__weighted_recall,released_emotion_label_sets,28,,Compute recall using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,weighted_recall,C-CODING-v1,C-CODING-v1/weighted_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,weighted_recall,P-CODING-v1,P-CODING-v1/weighted_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,weighted_f1,D-STRESS-v1,D-STRESS-v1/weighted_f1/dataset-metric-conditions-v1,applicable,binary_stress__weighted_f1,released_stress_labels,2,stress=1,Compute f1 using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,weighted_f1,G-EMOTION28-v1,G-EMOTION28-v1/weighted_f1/dataset-metric-conditions-v1,applicable,multilabel_emotion__weighted_f1,released_emotion_label_sets,28,,Compute f1 using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,weighted_f1,C-CODING-v1,C-CODING-v1/weighted_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,weighted_f1,P-CODING-v1,P-CODING-v1/weighted_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,stress_f1,D-STRESS-v1,D-STRESS-v1/stress_f1/dataset-metric-conditions-v1,applicable,binary_stress__stress_f1,released_stress_labels,2,stress=1,F1 for stress=1; zero_division=0. Never silently use no-stress as the positive class.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,stress_f1,G-EMOTION28-v1,G-EMOTION28-v1/stress_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,released_emotion_label_sets,28,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
cache,stress_f1,C-CODING-v1,C-CODING-v1/stress_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
parlamint_gb,stress_f1,P-CODING-v1,P-CODING-v1/stress_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
dreaddit,balanced_accuracy,D-STRESS-v1,D-STRESS-v1/balanced_accuracy/dataset-metric-conditions-v1,applicable,binary_stress__balanced_accuracy,released_stress_labels,2,stress=1,Mean recall across both GT classes; undefined if either class is absent.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,balanced_accuracy,G-EMOTION28-v1,G-EMOTION28-v1/balanced_accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,released_emotion_label_sets,28,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
cache,balanced_accuracy,C-CODING-v1,C-CODING-v1/balanced_accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
parlamint_gb,balanced_accuracy,P-CODING-v1,P-CODING-v1/balanced_accuracy/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
dreaddit,specificity,D-STRESS-v1,D-STRESS-v1/specificity/dataset-metric-conditions-v1,applicable,binary_stress__specificity,released_stress_labels,2,stress=1,"100 * TN/(TN+FP), positive class stress=1; undefined with no negatives.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,specificity,G-EMOTION28-v1,G-EMOTION28-v1/specificity/dataset-metric-conditions-v1,not_applicable,not_applicable,released_emotion_label_sets,28,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
cache,specificity,C-CODING-v1,C-CODING-v1/specificity/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
parlamint_gb,specificity,P-CODING-v1,P-CODING-v1/specificity/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
dreaddit,mcc,D-STRESS-v1,D-STRESS-v1/mcc/dataset-metric-conditions-v1,applicable,binary_stress__mcc,released_stress_labels,2,stress=1,Binary MCC; report degeneracy and support; use pinned sklearn convention for constant predictions.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,mcc,G-EMOTION28-v1,G-EMOTION28-v1/mcc/dataset-metric-conditions-v1,not_applicable,not_applicable,released_emotion_label_sets,28,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
cache,mcc,C-CODING-v1,C-CODING-v1/mcc/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
parlamint_gb,mcc,P-CODING-v1,P-CODING-v1/mcc/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
dreaddit,kappa,D-STRESS-v1,D-STRESS-v1/kappa/dataset-metric-conditions-v1,applicable,binary_stress__kappa,released_stress_labels,2,stress=1,Observed versus chance-corrected binary label agreement; undefined degenerate marginal cases marked NC.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,kappa,G-EMOTION28-v1,G-EMOTION28-v1/kappa/dataset-metric-conditions-v1,not_applicable,not_applicable,released_emotion_label_sets,28,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
cache,kappa,C-CODING-v1,C-CODING-v1/kappa/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
parlamint_gb,kappa,P-CODING-v1,P-CODING-v1/kappa/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,"Binary stress-specific definition, not scheduled for this task.",specified_not_yet_validated_for_server
dreaddit,confusion,D-STRESS-v1,D-STRESS-v1/confusion/dataset-metric-conditions-v1,applicable,binary_2x2,released_stress_labels,2,stress=1,Dreaddit 2x2 and GoEmotions per-label 2x2 matrices with fixed label order.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,confusion,G-EMOTION28-v1,G-EMOTION28-v1/confusion/dataset-metric-conditions-v1,applicable,28_one_vs_rest_2x2,released_emotion_label_sets,28,,Dreaddit 2x2 and GoEmotions per-label 2x2 matrices with fixed label order.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,confusion,C-CODING-v1,C-CODING-v1/confusion/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,confusion,P-CODING-v1,P-CODING-v1/confusion/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,per_label_prf,D-STRESS-v1,D-STRESS-v1/per_label_prf/dataset-metric-conditions-v1,applicable,binary_stress__per_label_prf,released_stress_labels,2,stress=1,"Vector over the full label inventory, including zero-support labels and zero_division=0.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
goemotions,per_label_prf,G-EMOTION28-v1,G-EMOTION28-v1/per_label_prf/dataset-metric-conditions-v1,applicable,multilabel_emotion__per_label_prf,released_emotion_label_sets,28,,"Vector over the full label inventory, including zero-support labels and zero_division=0.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,per_label_prf,C-CODING-v1,C-CODING-v1/per_label_prf/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
parlamint_gb,per_label_prf,P-CODING-v1,P-CODING-v1/per_label_prf/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,No independent task-reference labels; GT-free judging does not create GT.,specified_not_yet_validated_for_server
dreaddit,supported_macro_f1,D-STRESS-v1,D-STRESS-v1/supported_macro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,supported_macro_f1,G-EMOTION28-v1,G-EMOTION28-v1/supported_macro_f1/dataset-metric-conditions-v1,applicable,multilabel_emotion__supported_macro_f1,released_emotion_label_sets,28,,Average F1 only over labels with GT support >0; diagnostic alongside fixed-28 Macro-F1; save label list.,All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,supported_macro_f1,C-CODING-v1,C-CODING-v1/supported_macro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,supported_macro_f1,P-CODING-v1,P-CODING-v1/supported_macro_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,sample_precision,D-STRESS-v1,D-STRESS-v1/sample_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,sample_precision,G-EMOTION28-v1,G-EMOTION28-v1/sample_precision/dataset-metric-conditions-v1,applicable,multilabel_emotion__sample_precision,released_emotion_label_sets,28,,"Mean per-item set precision; zero_division=0. Normalize neutral as a real single label, not an empty set.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,sample_precision,C-CODING-v1,C-CODING-v1/sample_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,sample_precision,P-CODING-v1,P-CODING-v1/sample_precision/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,sample_recall,D-STRESS-v1,D-STRESS-v1/sample_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,sample_recall,G-EMOTION28-v1,G-EMOTION28-v1/sample_recall/dataset-metric-conditions-v1,applicable,multilabel_emotion__sample_recall,released_emotion_label_sets,28,,"Mean per-item set recall; zero_division=0. Normalize neutral as a real single label, not an empty set.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,sample_recall,C-CODING-v1,C-CODING-v1/sample_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
parlamint_gb,sample_recall,P-CODING-v1,P-CODING-v1/sample_recall/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
dreaddit,sample_f1,D-STRESS-v1,D-STRESS-v1/sample_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,released_stress_labels,2,stress=1,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
goemotions,sample_f1,G-EMOTION28-v1,G-EMOTION28-v1/sample_f1/dataset-metric-conditions-v1,applicable,multilabel_emotion__sample_f1,released_emotion_label_sets,28,,"Mean per-item set f1; zero_division=0. Normalize neutral as a real single label, not an empty set.",All scheduled methods; each metric must satisfy its artifact prerequisites.,Requires completed validated artifacts described by the metric register.,specified_not_yet_validated_for_server
cache,sample_f1,C-CODING-v1,C-CODING-v1/sample_f1/dataset-metric-conditions-v1,not_applicable,not_applicable,none,,,N/A,All scheduled methods; each metric must satisfy its artifact prerequisites.,GoEmotions full-label-set definition only in this profile.,specified_not_yet_validated_for_server
