id,group,name,scope,direction,unit,definition,requires,implementation_status
weighted_f1,classification,Weighted f1,Dreaddit; GoEmotions,up,%,Compute f1 using weighted averaging over the fixed label inventory (2 or 28). zero_division=0; report per-label support. Weighted uses GT support. Requires all planned outputs valid; otherwise NC with failure-aware Acc reported.,Saved predictions and released GT,specified_not_yet_validated_for_server
stress_f1,classification,Stress-positive F1,Dreaddit,up,%,F1 for stress=1; zero_division=0. Never silently use no-stress as the positive class.,Saved predictions and released GT,specified_not_yet_validated_for_server
balanced_accuracy,classification,Balanced accuracy,Dreaddit,up,%,Mean recall across both GT classes; undefined if either class is absent.,Saved predictions and released GT,specified_not_yet_validated_for_server
specificity,classification,Specificity,Dreaddit,up,%,"100 * TN/(TN+FP), positive class stress=1; undefined with no negatives.",Saved predictions and released GT,specified_not_yet_validated_for_server
mcc,classification,Matthews correlation coefficient,Dreaddit,up,"[-1,1]",Binary MCC; report degeneracy and support; use pinned sklearn convention for constant predictions.,Saved predictions and released GT,specified_not_yet_validated_for_server
kappa,classification,Cohen kappa against GT,Dreaddit,up,"[-1,1]",Observed versus chance-corrected binary label agreement; undefined degenerate marginal cases marked NC.,Saved predictions and released GT,specified_not_yet_validated_for_server
confusion,classification,Confusion matrix,Dreaddit; GoEmotions,none,counts,Dreaddit 2x2 and GoEmotions per-label 2x2 matrices with fixed label order.,Saved predictions and released GT,specified_not_yet_validated_for_server
per_label_prf,classification,Per-label precision / recall / F1 / support,Dreaddit; GoEmotions,none,vector,"Vector over the full label inventory, including zero-support labels and zero_division=0.",Saved predictions and released GT,specified_not_yet_validated_for_server
supported_macro_f1,classification,Macro-F1 on supported labels,GoEmotions,up,%,Average F1 only over labels with GT support >0; diagnostic alongside fixed-28 Macro-F1; save label list.,Saved predictions and released GT,specified_not_yet_validated_for_server
sample_precision,multilabel,Sample-averaged precision,GoEmotions,up,%,"Mean per-item set precision; zero_division=0. Normalize neutral as a real single label, not an empty set.",Saved predictions and released GT,specified_not_yet_validated_for_server
sample_recall,multilabel,Sample-averaged recall,GoEmotions,up,%,"Mean per-item set recall; zero_division=0. Normalize neutral as a real single label, not an empty set.",Saved predictions and released GT,specified_not_yet_validated_for_server
sample_f1,multilabel,Sample-averaged f1,GoEmotions,up,%,"Mean per-item set f1; zero_division=0. Normalize neutral as a real single label, not an empty set.",Saved predictions and released GT,specified_not_yet_validated_for_server
hamming_loss,multilabel,Hamming loss,GoEmotions,down,%,100 * total false-positive and false-negative label bits / (100 * 28). Requires all valid predictions; also show F1 because absent labels dominate.,Saved predictions and released GT,specified_not_yet_validated_for_server
sample_jaccard,multilabel,Sample Jaccard,GoEmotions,up,%,"Mean 100 * |predicted intersection GT| / |predicted union GT|; empty union convention 1, though valid GT is nonempty.",Saved predictions and released GT,specified_not_yet_validated_for_server
cardinality,multilabel,Predicted / true label cardinality,GoEmotions,none,labels/item,"Mean labels per item for predictions and GT, plus signed and absolute differences.",Saved predictions and released GT,specified_not_yet_validated_for_server
empty_neutral_conflict,multilabel,Empty / neutral-conflict output rates,GoEmotions,down,%,Separate rates for empty label sets and neutral combined with another emotion. Flag as invalid under the frozen schema.,Saved predictions and frozen label schema,specified_not_yet_validated_for_server
roc_auc,probabilistic,ROC-AUC,Labeled corpora where prerequisites hold,up,native,"Dreaddit positive-class AUC; GoEmotions per-label, micro, and macro AUC. Skip undefined single-class labels, list them and the averaging denominator.",Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
average_precision,probabilistic,Average precision,Labeled corpora where prerequisites hold,up,native,Dreaddit positive-class AP; GoEmotions micro/macro/per-label AP. Report undefined/no-positive labels and valid averaging denominator; do not call trapezoidal PR-AUC AP.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
brier,probabilistic,Brier score,Labeled corpora where prerequisites hold,down,native,Dreaddit mean (p_stress-y)^2; GoEmotions mean over all N*28 squared marginal probability errors.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
log_loss,probabilistic,Log loss,Labeled corpora where prerequisites hold,down,native,Dreaddit binary NLL; GoEmotions mean binary cross-entropy over N*28. Clip probabilities at 1e-7; record clipping.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
ece,probabilistic,Expected calibration error,Labeled corpora where prerequisites hold,down,native,"Ten equal-width bins over [0,1]. Binary positive-probability ECE or pooled multi-label-bit ECE; save bin N, mean predicted probability and positive frequency.",Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
lrap,probabilistic,Label-ranking average precision,Labeled corpora where prerequisites hold,up,native,GoEmotions only: use complete marginal score vector and GT label matrix.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
ranking_loss,probabilistic,Label-ranking loss,Labeled corpora where prerequisites hold,down,native,GoEmotions only: fraction of incorrectly ordered relevant/irrelevant label pairs under pinned sklearn convention.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
coverage_error,probabilistic,Coverage error,Labeled corpora where prerequisites hold,down,native,GoEmotions only: average depth required to cover all true labels in score ranking; not prediction coverage.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
risk_coverage,probabilistic,Risk-coverage curve / AURC,Labeled corpora where prerequisites hold,down,native,Order items by predeclared confidence in exact answer correctness; plot full-panel exact-error rate among retained items. Confidence construction must be calibrated on development data.,Comparable probabilities/scores from a separately frozen scoring procedure; never infer these from hard labels or verbal confidence,specified_not_yet_validated_for_server
reliability_bins,probabilistic,Reliability diagram data,Labeled corpora,none,table,"Per-bin counts, mean probabilities, observed frequencies; export machine-readable bin records.",Same valid probabilities as ECE,specified_not_yet_validated_for_server
conformability,grounding,Conformability v2 pass rate,All four,up,%,Pass iff all four source-grounding dimensions score 2 and output is valid. Report passes/resolved and resolved/100; final only with 100 resolved.,"Frozen primary judge, source, task/codebook, final answer/evidence",specified_not_yet_validated_for_server
factual_support,grounding,Factual support,All four,up,"[0,2]","Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",Frozen dimension rubric and judge,specified_not_yet_validated_for_server
evidence_relevance,grounding,Evidence relevance,All four,up,"[0,2]","Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",Frozen dimension rubric and judge,specified_not_yet_validated_for_server
attribution,grounding,Speaker / temporal attribution,All four,up,"[0,2]","Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",Frozen dimension rubric and judge,specified_not_yet_validated_for_server
unsupported_assertions,grounding,Absence of material unsupported assertions,All four,up,"[0,2]","Mean dimension rating 0=fail, 1=partial/ambiguous, 2=pass over resolved ratings; show dimension-specific N and missing.",Frozen dimension rubric and judge,specified_not_yet_validated_for_server
claim_support,grounding,Claim support rate,All four,up,%,Supported atomic claims / all adjudicated atomic claims; show number of claims and extraction version. Empty answers do not earn a perfect score.,Additional frozen claim decomposition and claim-level annotations,specified_not_yet_validated_for_server
contradiction,grounding,Contradiction rate,All four,down,%,Contradicted atomic claims / adjudicated claims; unclear claims separately reported.,Claim-level source judgments,specified_not_yet_validated_for_server
quote_validity,evidence,Exact-quote validity,All four,up,%,"Quotes whose stored [start,end) offsets reproduce the quote exactly / all submitted quotes. Missing all required quotes is an item failure.","Final evidence quotes, Unicode codepoint offsets and original source",specified_not_yet_validated_for_server
label_evidence_coverage,evidence,Label-to-evidence coverage,All four,up,%,"Predicted labels/codes with at least one mechanically valid quote / predicted labels/codes; empty invalid output has coverage 0, never 100.",Label-linked quote records and deterministic quote validator,specified_not_yet_validated_for_server
evidence_entailment,evidence,Evidence entailment rate,All four,up,%,Label/code claims actually supported by cited spans / judged label/code claims. Report all predicted-label denominator and missing separately.,Frozen entailment rubric and judge,specified_not_yet_validated_for_server
evidence_token_f1,evidence,Evidence token F1 / span overlap,Only with independently annotated evidence,up,%,Token overlap against independently annotated gold spans using a frozen tokenizer and multi-span matching rule.,Human reference evidence; not available for the current panel by default,specified_not_yet_validated_for_server
correct_and_grounded,joint,Joint correct-and-grounded rate,Dreaddit; GoEmotions,up,%,"Match by record ID: exact label correctness AND Conformability pass. Use actual joint events, never multiply marginal rates. Show missing-grounding bounds.",Released GT and resolved per-item grounding,specified_not_yet_validated_for_server
grounding_on_errors,joint,Grounding pass rate among wrong answers,Dreaddit; GoEmotions,none,%,Grounding passes among exact-label errors / resolved exact-label errors. Exposes plausible but incorrect explanations.,Released GT and per-item judge decisions,specified_not_yet_validated_for_server
human_grounding,audit,Human-audited grounding pass rate,Preselected audit subset,up,%,Adjudicated passes / reviewed outputs using the same v2 rubric; show exact audited N and never extrapolate as full-panel score.,Two independent human reviews plus adjudication,specified_not_yet_validated_for_server
human_agreement,audit,Human-human raw agreement / kappa,Preselected audit subset,none,native,Pass/fail agreement and Cohen kappa before adjudication; dimension ordinal agreement separately.,Independent reviewer labels,specified_not_yet_validated_for_server
judge_agreement,audit,Judge-human agreement / sensitivity / specificity,Preselected audit subset,none,native,Compare judge with adjudicated human grounding; treat human grounding failures as positive for failure-detection sensitivity. Show confusion matrix.,Judge and human labels; both human outcome classes for sensitivity/specificity,specified_not_yet_validated_for_server
second_judge_agreement,audit,Primary-secondary judge agreement,Optional matched subset,none,native,"Raw agreement and kappa, same answer/source and frozen rubric; agreement is not proof of truth.",Separately frozen secondary judge; not automatically scheduled,specified_not_yet_validated_for_server
prediction_coverage,reliability,Prediction coverage,All four,up,%,Valid committed predictions / 100 planned inputs.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
schema_validity,reliability,Schema-valid output rate,All four,up,%,Report first-attempt validity and eventual validity separately over attempted items.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
invalid_label_rate,reliability,Invalid-label rate,All four,down,%,"Items with out-of-codebook, duplicate or forbidden label combinations / attempted items.",Attempt logs and parser/error records,specified_not_yet_validated_for_server
abstention_rate,reliability,Abstention / refusal rate,All four,down,%,Separate explicit uncertainty abstentions and refusals / attempted items; preserve task failures.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
unresolved_judge_rate,reliability,Unresolved judgment rate,All four,down,%,Unresolved or unattempted planned primary judgments / 100; split error and not-yet-run counts.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
truncation_rate,reliability,Output-truncation rate,All four,down,%,Length-terminated model calls / all completed calls; also items affected / attempted items.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
retry_rate,reliability,Retry rate,All four,down,%,Items needing one or more retries / attempted items; report extra-call count separately.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
format_failure_rate,reliability,Exhausted format-failure rate,All four,down,%,Items still unparsable after the fixed retry policy / attempted items.,Attempt logs and parser/error records,specified_not_yet_validated_for_server
active_time,efficiency,Total active wall time,All four,none,seconds,"Wall time spent on preparation, adaptation/search, prediction, judging and retries; sum nonoverlapping phase intervals. Separate cold-start setup.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
elapsed_pause,efficiency,Elapsed and paused time,All four,none,seconds,"End-start elapsed time plus separately measured user-pause, infrastructure-idle and active intervals.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
stage_latency,efficiency,Stage latency mean / p50 / p95,All four,none,seconds,"Separate generator, reflector, curator, optimizer and judge latencies; completed versus failed attempts separately.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
online_step_latency,efficiency,Online step latency,All four,none,seconds/item,Time from beginning prediction to committed memory update; include its retries; report mean/p50/p95.,Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
throughput,efficiency,Throughput,All four,none,items/s,Completed valid evaluation items / active prediction wall time; separate token throughput and batch profile.,Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
tokens,efficiency,Input / output / thinking / cached tokens,All four,none,tokens,"Totals and per-item mean/p50/p95 by role, with native tokenizer and missing-usage counters.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
calls,efficiency,Model and metric-call counts,All four,none,counts,"Separate inference calls, optimizer metric evaluations, retries, and cache hits; do not equate them.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
discarded_time,efficiency,Discarded inference time,All four,none,seconds,"Sum measured duration of canceled, truncated or otherwise unusable calls; distinguish successful fallback calls and unknown cancellation duration.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
peak_vram,efficiency,Peak VRAM,All four,none,GiB,"Sample GPU memory at 1 second and store sampling interval; include model and KV cache, not only weight file size.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
energy,efficiency,GPU energy,All four,none,Wh,"Integrate measured GPU power over active intervals; report sampling/missing data, excludes unmeasured host energy.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
monetary_cost,efficiency,Measured compute cost,All four,none,currency,"Actual billed/API cost or rate-card estimate with explicit tariff, date and active allocation; no invented local dollar costs.",Stage logs / backend token usage / GPU telemetry or billing as appropriate,specified_not_yet_validated_for_server
memory_size,adaptation_analysis,Memory size and growth,Applicable methods and corpora,none,native,"Before/after each update: tokens, bytes and stable bullet count where supported; p50/max/final plus growth.","Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
memory_operations,adaptation_analysis,Memory additions / edits / removals,Applicable methods and corpora,none,counts,Count committed ACE delta operations by type; for DC report whole-cheatsheet revisions without inventing ACE bullet semantics.,"Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
memory_rejections,adaptation_analysis,Rejected / failed memory updates,Applicable methods and corpora,none,%,Rejected over-budget or invalid updates / attempted updates; retained-old-memory events tracked separately.,"Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
bullet_use,adaptation_analysis,Referenced playbook bullet rate,Applicable methods and corpora,none,%,Valid bullet IDs cited by predictions / total cited IDs; also distinct cited bullets / existing bullets. Self-reported references are not causal utilization.,"Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
update_completion,adaptation_analysis,Update completion,Applicable methods and corpora,none,%,"Committed required online updates / 100, or offline adaptation updates / 100. No-op valid updates count but are identified.","Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
learning_curve,adaptation_analysis,Cumulative and 20-item block curves,Applicable methods and corpora,none,metric curves,"Compute applicable task and grounding metrics at prefixes 20,40,60,80,100 and disjoint blocks; include block N and GT support.","Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
matched_base_delta,adaptation_analysis,Matched Base improvement,Applicable methods and corpora,none,native,Same-backbone/seed/item matched difference for applicable metric; percentages expressed in percentage points.,"Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
seed_variation,adaptation_analysis,Repetition variation,Applicable methods and corpora,none,native,"Per-seed scores and mean/sample SD across seeds 42,43,44; never select the best seed or claim N=300 unique examples.","Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
paired_ci,adaptation_analysis,Paired 95% confidence interval,Applicable methods and corpora,none,interval,"10,000 offline paired group/item bootstrap replicates, seed 20260914; online dependency caveats follow guideline.","Saved per-item predictions, ordered memory/update logs and applicable GT/judgments",specified_not_yet_validated_for_server
normal_tgc,benchmark_only,AppWorld Test-Normal TGC,Actual AppWorld evaluation only,up,%,"Official executable task/scenario success metric, not a classification or grounding proxy. N/A for all four corpora.","Official AppWorld task tests, scenarios and split definitions",specified_not_yet_validated_for_server
normal_sgc,benchmark_only,AppWorld Test-Normal SGC,Actual AppWorld evaluation only,up,%,"Official executable task/scenario success metric, not a classification or grounding proxy. N/A for all four corpora.","Official AppWorld task tests, scenarios and split definitions",specified_not_yet_validated_for_server
challenge_tgc,benchmark_only,AppWorld Test-Challenge TGC,Actual AppWorld evaluation only,up,%,"Official executable task/scenario success metric, not a classification or grounding proxy. N/A for all four corpora.","Official AppWorld task tests, scenarios and split definitions",specified_not_yet_validated_for_server
challenge_sgc,benchmark_only,AppWorld Test-Challenge SGC,Actual AppWorld evaluation only,up,%,"Official executable task/scenario success metric, not a classification or grounding proxy. N/A for all four corpora.","Official AppWorld task tests, scenarios and split definitions",specified_not_yet_validated_for_server
