model_id,model_dir,corpus_id,packet_id,status,validation_errors,disposition,requested_expertise,confidence,serious_error_flags,output_file
gemma3:4b,gemma3_4b,goemotions,PKT_005e65fd7f7074cb,valid,,reject,both,3,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_005e65fd7f7074cb.json
gemma3:4b,gemma3_4b,goemotions,PKT_006d2babce7c21c3,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_006d2babce7c21c3.json
gemma3:4b,gemma3_4b,goemotions,PKT_00718eb46b52df49,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00718eb46b52df49.json
gemma3:4b,gemma3_4b,goemotions,PKT_008417d0761ed618,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_008417d0761ed618.json
gemma3:4b,gemma3_4b,goemotions,PKT_008a039a6610db69,valid,,reject,both,3,unsupported_inference;contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_008a039a6610db69.json
gemma3:4b,gemma3_4b,goemotions,PKT_0091d5eccea35fb4,valid,,reject,both,3,unsupported_inference;contextual_flattening;lost_negative_case,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0091d5eccea35fb4.json
gemma3:4b,gemma3_4b,goemotions,PKT_0092d303126ba068,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0092d303126ba068.json
gemma3:4b,gemma3_4b,goemotions,PKT_009c2ee513296351,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_009c2ee513296351.json
gemma3:4b,gemma3_4b,goemotions,PKT_00a398a6e7072686,valid,,revise,none,3,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00a398a6e7072686.json
gemma3:4b,gemma3_4b,goemotions,PKT_00a4a122feec7645,valid,,reject,both,3,unsupported_inference;unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00a4a122feec7645.json
gemma3:4b,gemma3_4b,goemotions,PKT_00a4f8a32802907f,valid,,reject,both,3,unsupported_inference;contextual_flattening;lost_negative_case,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00a4f8a32802907f.json
gemma3:4b,gemma3_4b,goemotions,PKT_00b836ae022278cc,valid,,reject,both,3,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00b836ae022278cc.json
gemma3:4b,gemma3_4b,goemotions,PKT_00bf672224e98002,valid,,reject,both,3,unsupported_inference;contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00bf672224e98002.json
gemma3:4b,gemma3_4b,goemotions,PKT_00c12d0366996e50,valid,,reject,both,3,unsupported_inference;unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00c12d0366996e50.json
gemma3:4b,gemma3_4b,goemotions,PKT_00c1bf38e75c46fd,valid,,reject,both,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00c1bf38e75c46fd.json
gemma3:4b,gemma3_4b,goemotions,PKT_00ca29dabb31c5dd,valid,,reject,both,4,contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00ca29dabb31c5dd.json
gemma3:4b,gemma3_4b,goemotions,PKT_00ca3c08c22e6626,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00ca3c08c22e6626.json
gemma3:4b,gemma3_4b,goemotions,PKT_00caa4dc4336ec99,valid,,reject,both,3,unsupported_abstraction;fabricated_or_altered_quote,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00caa4dc4336ec99.json
gemma3:4b,gemma3_4b,goemotions,PKT_00cf774b6a88aa26,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00cf774b6a88aa26.json
gemma3:4b,gemma3_4b,goemotions,PKT_00dbff09dd40ac96,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00dbff09dd40ac96.json
gemma3:4b,gemma3_4b,goemotions,PKT_00df1ff4209f58fd,valid,,reject,both,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00df1ff4209f58fd.json
gemma3:4b,gemma3_4b,goemotions,PKT_00e2aa7e06a2cc18,valid,,reject,both,4,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00e2aa7e06a2cc18.json
gemma3:4b,gemma3_4b,goemotions,PKT_00e64d53d8ad922c,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00e64d53d8ad922c.json
gemma3:4b,gemma3_4b,goemotions,PKT_00eed6398f7d64d9,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00eed6398f7d64d9.json
gemma3:4b,gemma3_4b,goemotions,PKT_00f10e3fd53ee0ab,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_00f10e3fd53ee0ab.json
gemma3:4b,gemma3_4b,goemotions,PKT_010189f8da439eb4,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_010189f8da439eb4.json
gemma3:4b,gemma3_4b,goemotions,PKT_0114161b87c47333,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0114161b87c47333.json
gemma3:4b,gemma3_4b,goemotions,PKT_0114b902a8695d11,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0114b902a8695d11.json
gemma3:4b,gemma3_4b,goemotions,PKT_01173b64772c494d,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01173b64772c494d.json
gemma3:4b,gemma3_4b,goemotions,PKT_01190686ff80d28e,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01190686ff80d28e.json
gemma3:4b,gemma3_4b,goemotions,PKT_011f8ee86e97218d,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_011f8ee86e97218d.json
gemma3:4b,gemma3_4b,goemotions,PKT_011ff59ef6ec40ba,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_011ff59ef6ec40ba.json
gemma3:4b,gemma3_4b,goemotions,PKT_01225f9ea4591ecb,valid,,revise,none,4,unsupported_inference;lost_negative_case;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01225f9ea4591ecb.json
gemma3:4b,gemma3_4b,goemotions,PKT_0129f6438df68cb1,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0129f6438df68cb1.json
gemma3:4b,gemma3_4b,goemotions,PKT_012a892af8ab07b2,valid,,reject,both,4,unsupported_inference;lost_negative_case;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_012a892af8ab07b2.json
gemma3:4b,gemma3_4b,goemotions,PKT_012b5f36ac59d296,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_012b5f36ac59d296.json
gemma3:4b,gemma3_4b,goemotions,PKT_0140642cdc127af3,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0140642cdc127af3.json
gemma3:4b,gemma3_4b,goemotions,PKT_0141243c61be6d35,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0141243c61be6d35.json
gemma3:4b,gemma3_4b,goemotions,PKT_014907b640301302,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_014907b640301302.json
gemma3:4b,gemma3_4b,goemotions,PKT_014ba6a5ab27073f,valid,,revise,none,4,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_014ba6a5ab27073f.json
gemma3:4b,gemma3_4b,goemotions,PKT_014ed29fd632d69d,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_014ed29fd632d69d.json
gemma3:4b,gemma3_4b,goemotions,PKT_014f863a5357dad9,valid,,reject,both,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_014f863a5357dad9.json
gemma3:4b,gemma3_4b,goemotions,PKT_01504567dc114f63,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01504567dc114f63.json
gemma3:4b,gemma3_4b,goemotions,PKT_015a446078b3ad1a,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_015a446078b3ad1a.json
gemma3:4b,gemma3_4b,goemotions,PKT_016561ebeb8bfde2,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_016561ebeb8bfde2.json
gemma3:4b,gemma3_4b,goemotions,PKT_0167c66ee79066fb,valid,,reject,both,4,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0167c66ee79066fb.json
gemma3:4b,gemma3_4b,goemotions,PKT_01718de685b1fd5f,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01718de685b1fd5f.json
gemma3:4b,gemma3_4b,goemotions,PKT_017449cee52eebde,valid,,reject,both,3,unsupported_inference;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_017449cee52eebde.json
gemma3:4b,gemma3_4b,goemotions,PKT_0183d464274c6638,valid,,revise,none,4,contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0183d464274c6638.json
gemma3:4b,gemma3_4b,goemotions,PKT_018a3d52fcce28ed,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_018a3d52fcce28ed.json
gemma3:4b,gemma3_4b,goemotions,PKT_018c68be09b20b9f,valid,,reject,both,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_018c68be09b20b9f.json
gemma3:4b,gemma3_4b,goemotions,PKT_018e6fc12bd9e0ac,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_018e6fc12bd9e0ac.json
gemma3:4b,gemma3_4b,goemotions,PKT_01906b452d3a0088,valid,,reject,qualitative_methods,3,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01906b452d3a0088.json
gemma3:4b,gemma3_4b,goemotions,PKT_01941e397d9a4d2a,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01941e397d9a4d2a.json
gemma3:4b,gemma3_4b,goemotions,PKT_01a014b0777209a7,valid,,reject,both,4,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01a014b0777209a7.json
gemma3:4b,gemma3_4b,goemotions,PKT_01ab5ee2a10e6271,valid,,reject,both,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01ab5ee2a10e6271.json
gemma3:4b,gemma3_4b,goemotions,PKT_01ac39b72feeb919,valid,,reject,both,3,unsupported_inference;contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01ac39b72feeb919.json
gemma3:4b,gemma3_4b,goemotions,PKT_01ac7a8f4dc9767b,valid,,reject,both,3,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01ac7a8f4dc9767b.json
gemma3:4b,gemma3_4b,goemotions,PKT_01acee65328ca30c,valid,,reject,both,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01acee65328ca30c.json
gemma3:4b,gemma3_4b,goemotions,PKT_01ae758a48f01868,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01ae758a48f01868.json
gemma3:4b,gemma3_4b,goemotions,PKT_01c8d1f29e51e32a,valid,,revise,none,4,contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01c8d1f29e51e32a.json
gemma3:4b,gemma3_4b,goemotions,PKT_01d0f4cd0379b123,valid,,revise,none,3,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01d0f4cd0379b123.json
gemma3:4b,gemma3_4b,goemotions,PKT_01d4e31b5e335054,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01d4e31b5e335054.json
gemma3:4b,gemma3_4b,goemotions,PKT_01dc6e9edf37123a,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01dc6e9edf37123a.json
gemma3:4b,gemma3_4b,goemotions,PKT_01df0589e9ed87c7,valid,,reject,both,3,unsupported_inference;contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01df0589e9ed87c7.json
gemma3:4b,gemma3_4b,goemotions,PKT_01e0b758a7343e4e,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01e0b758a7343e4e.json
gemma3:4b,gemma3_4b,goemotions,PKT_01f73c69b0539cf9,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01f73c69b0539cf9.json
gemma3:4b,gemma3_4b,goemotions,PKT_01fbe83f43b5f960,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01fbe83f43b5f960.json
gemma3:4b,gemma3_4b,goemotions,PKT_01fd14a7328b2988,valid,,reject,both,3,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_01fd14a7328b2988.json
gemma3:4b,gemma3_4b,goemotions,PKT_020c29c44869cab9,valid,,reject,both,3,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_020c29c44869cab9.json
gemma3:4b,gemma3_4b,goemotions,PKT_021d1ef35686eeee,valid,,revise,none,4,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_021d1ef35686eeee.json
gemma3:4b,gemma3_4b,goemotions,PKT_022322af119a7731,valid,,reject,both,4,contextual_flattening;unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_022322af119a7731.json
gemma3:4b,gemma3_4b,goemotions,PKT_0228c973a230dd6c,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_0228c973a230dd6c.json
gemma3:4b,gemma3_4b,goemotions,PKT_022a11d4f4861770,valid,,reject,both,3,unsupported_abstraction;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_022a11d4f4861770.json
gemma3:4b,gemma3_4b,goemotions,PKT_022bd4e543446c85,valid,,reject,both,3,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_022bd4e543446c85.json
gemma3:4b,gemma3_4b,goemotions,PKT_023432d7aeab4a5e,valid,,revise,none,4,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_023432d7aeab4a5e.json
gemma3:4b,gemma3_4b,goemotions,PKT_02391ca58ecf506b,valid,,reject,both,3,unsupported_inference;contextual_flattening,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_02391ca58ecf506b.json
gemma3:4b,gemma3_4b,goemotions,PKT_024a1d8bde2829ef,valid,,revise,none,4,unsupported_abstraction,/Users/tom/Documents/GitHub/ACL2027/ACL 2027/Storage/draft_review_packets/goemotions_train_all_working_v1/reviewer_outputs/generalist/gemma3_4b/PKT_024a1d8bde2829ef.json
